NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
SOUTH EASTERN AREA SPEC SCHOOL,PENNSYLVANIA,PA,7,97,0,880000,0,0,880000,744000,0,0
INTERMEDIATE SCH UNIT 2,PENNSYLVANIA,PA,7,97,0,74698000,6182000,16911000,51605000,74955000,4351000,2520000
AW BEATLE AVTS SPEC PURP,PENNSYLVANIA,PA,7,97,0,664000,0,101000,563000,634000,354000,335000
FRANKLIN CO SPEC ED,PENNSYLVANIA,PA,7,97,0,715000,0,0,715000,715000,0,0
EDWARD BOK AVTS,PENNSYLVANIA,PA,7,97,0,67272000,0,9801000,57471000,67271000,45081000,30675000
INTERMEDIATE SCH UNIT 26,PENNSYLVANIA,PA,7,97,0,225843000,15819000,77447000,132577000,230251000,116846000,105866000
ANDERSON 1 AND 2 AVC,SOUTH CAROLINA,SC,7,97,0,2857000,68000,601000,2188000,2749000,1353000,658000
BARNWELL AVC,SOUTH CAROLINA,SC,7,97,0,859000,24000,89000,746000,795000,482000,312000
BEAUFORT-JASPER AVC,SOUTH CAROLINA,SC,7,97,0,2856000,156000,156000,2544000,2858000,1723000,1063000
F E DUBOSE AVC,SOUTH CAROLINA,SC,7,97,0,1214000,30000,181000,1003000,1287000,770000,344000
DILLON AVC,SOUTH CAROLINA,SC,7,97,0,1127000,161000,238000,728000,1049000,649000,466000
DORCHESTER AVC,SOUTH CAROLINA,SC,7,97,0,1931000,3000,105000,1823000,1771000,1034000,676000
GREENWOOD AVC,SOUTH CAROLINA,SC,7,97,0,1206000,161000,184000,861000,1322000,743000,489000
MARION AVC,SOUTH CAROLINA,SC,7,97,0,1572000,87000,326000,1159000,1455000,804000,464000
COPE AVC,SOUTH CAROLINA,SC,7,97,0,588000,0,26000,562000,571000,369000,247000
ORANGEBURG-CALHOUN AVC,SOUTH CAROLINA,SC,7,97,0,1522000,0,74000,1448000,1551000,1005000,833000
MCCARTHY TESZLER SCHOOL,SOUTH CAROLINA,SC,5,97,0,7100000,327000,1858000,4915000,7054000,4056000,3894000
DANIEL MORGAN AVC,SOUTH CAROLINA,SC,7,97,0,1918000,118000,369000,1431000,1856000,956000,640000
R D ANDERSON AVC,SOUTH CAROLINA,SC,7,97,0,2198000,42000,371000,1785000,2246000,1056000,715000
H B SWOFFORD AVC,SOUTH CAROLINA,SC,7,97,0,1802000,15000,409000,1378000,1924000,934000,640000
SUMTER CAREER CENTER,SOUTH CAROLINA,SC,7,97,0,2164000,685000,209000,1270000,2096000,1201000,536000
REGION XX EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,938000,938000,0,0,2114000,221000,0
RIGION XIX EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,1154000,700000,0,454000,1058000,598000,223000
REGION VII EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,0,0,0,0,534000,313000,0
REGION IV EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,239000,239000,0,0,574000,73000,0
REGIONN #1 EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,1001000,576000,389000,36000,1736000,342000,293000
REGION V EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,370000,0,0,370000,368000,243000,243000
REGION XVII EDUCATION SERVC CTR,TEXAS,TX,7,97,0,964000,964000,0,0,1651000,260000,43000
REGION XII EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,238000,238000,0,0,238000,122000,0
REGION XVIII EDUCATION SERVC CTR,TEXAS,TX,7,97,0,0,0,0,0,24000,18000,0
REGION II EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,622000,515000,107000,0,515000,199000,193000
REGION XVI EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,739000,739000,0,0,1105000,225000,6000
REGION XI EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,266000,266000,0,0,266000,134000,0
REGION XIV EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,2167000,714000,258000,1195000,1985000,758000,299000
REGION VIII EDUCATN SERVICE CTR,TEXAS,TX,7,97,0,0,0,0,0,25000,7000,0
REGION XV EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,360000,0,360000,0,170000,103000,0
REGION XIII EDUCATION SERVC CTR,TEXAS,TX,7,97,0,1702000,0,932000,770000,1295000,489000,124000
REGION III EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,56000,0,56000,0,60000,48000,16000
REGION VI EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,151000,0,151000,0,2603000,308000,0
REGION IX EDUCATION SERVICE CTR,TEXAS,TX,7,97,0,0,0,0,0,147000,84000,84000
"METTAWEE COMMUNITY SCHOOL, UD #47",VERMONT,VT,6,97,0,130000,0,0,130000,429000,5000,0
DUXBURY/WATERBURY UNION #45,VERMONT,VT,6,97,0,723000,0,361000,362000,6625000,0,0
CALUMET CO HANDICAP CHILD EDUC BOARD,WISCONSIN,WI,5,97,0,1019000,0,531000,488000,1286000,0,0
ALBERTVILLE CITY SCH DIST,ALABAMA,AL,3,97,1,21315000,1180000,10617000,9518000,15648000,9421000,6574000
MARSHALL CO SCH DIST,ALABAMA,AL,3,97,1,37281000,3011000,23761000,10509000,33179000,20324000,13256000
HOOVER CITY SCH DIST,ALABAMA,AL,3,97,1,62011000,1495000,27855000,32661000,60241000,31229000,21621000
ALEXANDER CITY SCH DIST,ALABAMA,AL,3,97,1,20214000,910000,13412000,5892000,22014000,10924000,7838000
ANDALUSIA CTY SCH DIST,ALABAMA,AL,3,97,1,10192000,1042000,6599000,2551000,9113000,5935000,4374000
ANNISTON CTY SCH DST,ALABAMA,AL,3,97,1,20184000,2769000,13064000,4351000,19740000,11790000,7753000
ARAB CITY SCHOOL DISTRICT,ALABAMA,AL,3,97,1,13177000,507000,8724000,3946000,12976000,6988000,5121000
ATHENS CITY SCH DIST,ALABAMA,AL,3,97,1,19251000,782000,9769000,8700000,17885000,11058000,7886000
ATTALLA CITY SCH DIST,ALABAMA,AL,3,97,1,10724000,1031000,7456000,2237000,10036000,5956000,4146000
AUBURN CITY SCHOOL DIST,ALABAMA,AL,3,97,1,24117000,1488000,13866000,8763000,26512000,15169000,10790000
AUTAUGA CO SCH DIST,ALABAMA,AL,3,97,1,38900000,2933000,26740000,9227000,53214000,21380000,14689000
BALDWIN CO SCH DIST,ALABAMA,AL,3,97,1,124242000,7432000,69228000,47582000,117227000,64028000,44999000
BARBOUR CO SCH DIST,ALABAMA,AL,3,97,1,10668000,1538000,7574000,1556000,10633000,6213000,4214000
BESSEMER CITY SCH DIST,ALABAMA,AL,3,97,1,24637000,3729000,15949000,4959000,25632000,16089000,11069000
BIBB CO SCH DIST,ALABAMA,AL,3,97,1,18350000,2230000,13122000,2998000,17330000,10568000,7483000
BIRMINGHAM CITY SCH DIST,ALABAMA,AL,3,97,1,209516000,25403000,133233000,50880000,204720000,137594000,92496000
BLOUNT CO SCH DIST,ALABAMA,AL,3,97,1,33313000,2331000,23591000,7391000,32343000,17968000,12366000
