LEAID,NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
4800106,PASO DEL NORTE,TEXAS,TX,2,5,1,1233000,108000,1124000,1000,1164000,539000,302000
4800107,REGION XIX EDUCATION SERVICE CTR,TEXAS,TX,7,5,1,38832000,32336000,3160000,3336000,40115000,22068000,7331000
4800108,ODYSSEY ACADEMY INC,TEXAS,TX,1,5,1,2197000,606000,1550000,41000,1998000,850000,569000
4800109,EAST TEXAS CHARTER SCHOOL,TEXAS,TX,3,5,1,948000,35000,896000,17000,634000,418000,304000
4800110,REGION VII EDUCATION SERVICE CTR,TEXAS,TX,7,5,1,23519000,15229000,2204000,6086000,21576000,7471000,0
4800111,ALPHONSO CRUTCH`S-LIFE SU,TEXAS,TX,3,5,1,883000,706000,177000,0,2659000,1314000,436000
4800112,AMERICAN ACADEMY OF EXCEL,TEXAS,TX,2,5,1,980000,152000,811000,17000,1056000,555000,321000
4800113,AMIGOS POR VIDA-FRIENDS F,TEXAS,TX,1,5,1,2978000,959000,1943000,76000,2652000,1347000,1072000
4800114,BENJI`S SPECIAL EDUCATION,TEXAS,TX,3,5,1,3089000,307000,2779000,3000,2814000,1764000,1023000
4800115,HOUSTON HEIGHTS HIGH SCHO,TEXAS,TX,2,5,1,1740000,462000,1272000,6000,1682000,977000,667000
4800116,JAMIE`S HOUSE CHARTER SCH,TEXAS,TX,3,5,1,717000,171000,528000,18000,784000,556000,313000
4800117,CHILDREN FIRST ACADEMY OF,TEXAS,TX,1,5,1,2325000,165000,2160000,0,2116000,1138000,600000
4800118,HOUSTON GATEWAY ACADEMY I,TEXAS,TX,3,5,1,5142000,984000,3926000,232000,5551000,3009000,2075000
4800119,HOUSTON HEIGHTS LEARNING,TEXAS,TX,1,5,1,591000,118000,462000,11000,426000,214000,166000
4800120,JESSE JACKSON ACADEMY,TEXAS,TX,2,5,1,1839000,358000,1479000,2000,2155000,952000,329000
4800121,LA AMISTAD LOVE & LEARNIN,TEXAS,TX,1,5,1,2260000,311000,1799000,150000,1970000,976000,659000
4800122,NORTH HOUSTON H S FOR BUS,TEXAS,TX,2,5,1,1300000,149000,1151000,0,1065000,536000,130000
4800124,CALVIN NELMS CHARTER SCHO,TEXAS,TX,3,5,1,1234000,36000,1166000,32000,1085000,749000,541000
4800125,SOUTHWEST SCHOOL,TEXAS,TX,3,5,1,4180000,440000,3661000,79000,4232000,1336000,885000
4800127,COMQUEST ACADEMY,TEXAS,TX,2,5,1,482000,2000,472000,8000,546000,374000,234000
4800128,GULF SHORES ACADEMY,TEXAS,TX,2,5,1,6361000,1935000,4397000,29000,6434000,2788000,1501000
4800130,REGION IV EDUCATION SERVICE CTR,TEXAS,TX,7,5,1,34679000,8671000,3886000,22122000,31686000,10936000,0
4800132,KATHERINE ANNE PORTER SCH,TEXAS,TX,2,5,1,964000,69000,807000,88000,912000,567000,427000
4800133,MID-VALLEY ACADEMY,TEXAS,TX,2,5,1,1405000,208000,1197000,0,1327000,554000,329000
4800135,EAGLE ACADEMY OF PHARR/MC,TEXAS,TX,3,5,1,1575000,121000,1448000,6000,1506000,690000,487000
4800136,REGION I EDUCATION SERVICE CTR,TEXAS,TX,7,5,1,29775000,15614000,4171000,9990000,26778000,8329000,1291000
4800137,ACADEMY OF BEAUMONT,TEXAS,TX,1,5,1,2435000,361000,2070000,4000,2396000,968000,812000
4800138,EAGLE ACADEMY OF BEAUMONT,TEXAS,TX,3,5,1,1209000,129000,1075000,5000,998000,484000,374000
