Year,State Code,State Name,Students,Total Revenue,Federal Revenue,State Revenue,Local Revenue,Total Expenditures,Salaries,Teacher Revenue
1997,GA,GEORGIA,1346761,6087.838154,389.1113568,3301.259837,2397.46696,6263.342197,3579.413868,2469.17753
1997,HI,HAWAII,187653,6468.279217,510.4901067,5800.120435,157.6686757,6615.268607,3612.795958,2447.394926
1997,IA,IOWA,502941,6773.323312,304.5287618,3273.739862,3195.054688,6929.916233,3776.910214,2517.539831
1997,ID,IDAHO,245252,4893.680785,329.2654086,3046.866081,1517.549296,5275.002854,2817.024938,1964.648606
1997,IL,ILLINOIS,1952892,7100.299965,429.9782067,2077.215227,4593.106531,7099.97071,3893.579881,2713.024069
1997,IN,INDIANA,981546,8033.389164,310.8616407,3854.519299,3868.008224,7462.804596,3805.967321,2597.85685
1997,KS,KANSAS,466368,6496.03532,326.9113661,3607.241492,2561.882462,6324.636339,3752.009143,2508.450408
1997,KY,KENTUCKY,631592,6084.464338,541.3542287,3770.890068,1772.220041,6179.842367,3632.413013,2490.637943
1997,LA,LOUISIANA,808798,5076.786787,591.0103635,2581.488827,1904.287597,4979.275419,3015.091531,2015.670167
1997,MA,MASSACHUSETTS,928519,8171.873704,366.170213,3598.250547,4207.452944,8055.200809,4484.018098,3344.778082
1997,MD,MARYLAND,818583,7379.68294,357.0316022,2863.39687,4159.254468,7594.978151,4174.742207,2772.902687
1997,ME,MAINE,213241,7208.172912,349.3512036,3139.579162,3719.242547,7164.02099,3984.318213,2867.159693
1997,MI,MICHIGAN,1684261,8169.58298,478.9714896,5182.296568,2508.314923,8452.313507,4425.341441,2793.792649
1997,MN,MINNESOTA,836689,7509.188002,298.6211125,3961.310594,3249.256295,8208.120341,4030.380464,2861.702496
1997,MO,MISSOURI,899750,6168.529036,373.9394276,2421.169214,3373.420395,6143.601,3588.639066,2446.682967
1997,MS,MISSISSIPPI,503979,4513.481713,606.2077983,2486.619482,1420.654432,4602.025084,2608.642424,1831.625921
1997,MT,MONTANA,164464,6019.414583,550.5824983,2829.452038,2639.380047,5910.466728,3453.965609,2445.544314
1997,NC,NORTH CAROLINA,1208695,5649.028084,389.8899226,3522.821721,1736.31644,5797.732265,3365.43214,2298.588974
1997,ND,NORTH DAKOTA,118433,5769.768561,635.9376187,2282.818133,2851.012809,5739.042328,3074.793343,2172.612363
1997,NE,NEBRASKA,290883,6855.062001,398.0397617,2168.44917,4288.573069,6692.467418,3566.849902,2519.315326
1997,NH,NEW HAMPSHIRE,193524,6919.989252,229.103367,488.5698931,6202.315992,7396.870672,3794.15473,2848.892127
1997,NJ,NEW JERSEY,1216721,10609.60976,351.1265113,3943.757854,6314.725397,10881.99678,6175.391072,4198.11855
1997,NM,NEW MEXICO,332849,5312.162572,694.8225772,3867.107908,750.2320872,5487.545403,2899.203543,1984.139955
1997,NV,NEVADA,282131,6030.142026,241.4871106,1919.941446,3868.71347,6755.514282,3390.393115,2246.881768
1997,NY,NEW YORK,2818497,9500.541246,514.106632,3717.544493,5268.890121,10015.05377,5714.337819,4262.617629
1997,OH,OHIO,1844245,6836.59709,394.2410038,2770.570613,3671.785473,6724.662938,3898.289002,2567.518958
1997,OK,OKLAHOMA,620695,5094.33941,421.6757022,3067.579085,1605.084623,5068.096247,2948.697831,2008.811091
1997,OR,OREGON,537675,6346.4937,356.2207653,3342.965546,2647.307388,6940.962477,3613.578835,2396.650393
1997,PA,PENNSYLVANIA,1781383,8316.083627,426.3496396,3138.907242,4750.826745,8646.351178,4464.075384,3194.93955
1997,RI,RHODE ISLAND,150433,7880.810726,420.2136499,3130.137669,4330.459407,7815.027288,4720.320674,3493.309314
1997,SC,SOUTH CAROLINA,641925,5986.884761,469.4676169,3150.112552,2367.304592,6061.270398,3316.304864,2253.607509
1997,SD,SOUTH DAKOTA,135601,5512.215987,520.4091415,1956.873474,3034.933371,5243.707642,2976.21699,2090.781041
1997,TN,TENNESSEE,886517,4952.954089,405.1698952,2385.514322,2162.269872,5296.468088,3087.652013,2203.506532
1997,TX,TEXAS,3826366,6031.989621,439.8653971,2581.194794,3010.92943,6181.98625,3607.81483,2471.799091
1997,UT,UTAH,479812,4558.616708,291.8726501,2850.712362,1416.031696,4540.899352,2352.390103,1692.733821
1997,VA,VIRGINIA,1096279,6700.018882,325.4344925,2129.874786,4244.709604,6783.254993,3990.28532,2636.325242
1997,VT,VERMONT,101584,10057.61734,370.4421956,2285.753662,7401.421484,10456.79438,4462.750039,3230.183887
1997,WA,WASHINGTON,974504,6842.070428,398.2764565,4559.688826,1884.105145,6969.967286,3674.190152,2426.157307
1997,WI,WISCONSIN,879021,7649.102809,328.2913605,4029.338321,3291.473127,7951.121759,4097.535781,2954.34125
1997,WV,WEST VIRGINIA,303441,6768.96662,560.9690187,4238.870159,1969.127442,6650.996405,3851.503258,2617.741175
1997,WY,WYOMING,98777,6682.517185,437.0551849,3245.350638,3000.111362,7037.336627,3848.456625,2603.905768
1998,AK,ALASKA,130633,9233.463214,1204.404706,5709.231205,2319.827302,9361.286964,5149.747767,3591.856575
1998,AL,ALABAMA,739321,5600.45907,506.0765216,3502.969617,1591.412932,5741.79957,3214.767334,2188.857073
1998,AR,ARKANSAS,456355,5625.839533,496.2693517,3298.78932,1830.780861,5557.13644,3249.853732,2127.641858
1998,AZ,ARIZONA,812218,5869.285093,597.5686331,2556.445437,2715.271023,5918.11558,3199.089407,2116.355461
1998,CA,CALIFORNIA,5727224,6816.434629,547.088607,3986.687268,2282.658754,6625.830944,3738.576665,2469.23623
1998,CO,COLORADO,686360,6347.622239,312.7425841,2738.332653,3296.547002,6900.241856,3712.879538,2481.36255
1998,CT,CONNECTICUT,516114,9749.797525,369.6838295,3553.608311,5826.499572,9337.873028,5680.42913,4082.785974
1998,DC,DISTRICT OF COLUMBIA,77111,9167.797072,1509.071339,0,7658.725733,9294.912529,5163.72502,3088.794076
1998,DE,DELAWARE,111824,8380.857419,536.8436114,5331.896552,2512.117256,8184.352196,4385.605952,3097.0543
1998,FL,FLORIDA,2292161,6803.916043,487.14161,3377.86351,2938.910923,6611.831804,3461.830997,2149.048431
1998,GA,GEORGIA,1375980,6652.200613,423.4581898,3421.987238,2806.755185,6496.28701,3774.070844,2588.124827
1998,HI,HAWAII,189887,6736.243134,564.277702,6008.842101,163.1233312,6669.113736,3743.847657,2576.448098
1998,IA,IOWA,501054,7164.307639,335.4887896,3424.205774,3404.613076,7285.214767,3956.182368,2636.198893
1998,ID,IDAHO,244403,5363.927611,368.28926,3363.367062,1632.27129,5493.872825,2997.238168,2085.297644
1998,IL,ILLINOIS,1972406,7419.73255,482.4823084,2182.361035,4754.889206,7690.496277,4119.469318,2861.90115
1998,IN,INDIANA,985690,7767.90776,348.9139587,3824.97134,3594.022461,7760.150757,3973.854863,2710.001116
1998,KS,KANSAS,468980,6839.673334,402.8103544,3983.374558,2453.488422,6583.048318,3865.911126,2565.279969
1998,KY,KENTUCKY,645232,6103.245034,570.0430233,3737.936122,1795.265889,6228.01101,3635.238178,2485.236318
1998,LA,LOUISIANA,774561,5736.756692,643.0507087,2925.89867,2167.807313,5654.553999,3356.081703,2254.923757
1998,MA,MASSACHUSETTS,942331,8199.345028,389.3324108,3378.802141,4431.210477,8594.347421,4764.317421,3552.328216
1998,MD,MARYLAND,830744,7849.914053,391.6019857,3026.324596,4431.987471,7847.651021,4333.848935,2956.375249
1998,ME,MAINE,212038,7602.061895,388.821815,3284.458446,3928.781633,7552.471727,4164.168687,2997.792848
1998,MI,MICHIGAN,1680559,8754.378751,515.4332576,5637.567024,2601.37847,8869.527937,4602.549509,2895.660908
1998,MN,MINNESOTA,844955,7900.542632,371.3156322,3996.086182,3533.144369,8067.872254,4293.323313,2981.67003
1998,MO,MISSOURI,909441,6587.012242,425.5746112,2542.76858,3618.669051,6432.135785,3771.277081,2563.69682
1998,MS,MISSISSIPPI,504792,4755.740978,638.5798507,2613.072315,1504.088813,5038.617886,2755.616175,1924.248007
1998,MT,MONTANA,162164,6386.349621,634.1974791,2949.760736,2802.391406,6210.663279,3607.933943,2550.399595
1998,NC,NORTH CAROLINA,1232932,6108.460158,422.3144504,3919.084751,1767.059335,6247.230991,3606.257279,2481.011929
1998,ND,NORTH DAKOTA,116813,6261.15244,735.9026821,2439.54012,3085.709638,6121.972726,3233.107616,2276.604488
1998,NE,NEBRASKA,291570,7074.925404,448.9625133,2275.336969,4350.625922,6744.18836,3628.545461,2566.467744
1998,NH,NEW HAMPSHIRE,196734,7218.376081,264.1993758,648.6982423,6305.478463,7260.803928,3941.19471,2967.763579
1998,NJ,NEW JERSEY,1238948,11126.45728,385.0290731,4233.690195,6507.738016,11276.57254,6350.995361,4255.561977
1998,NM,NEW MEXICO,331673,5770.089817,765.4798552,4170.716338,833.8936241,5829.651494,3109.282335,2088.192286
1998,NV,NEVADA,296621,6428.60755,285.5462021,2042.613301,4100.448046,6843.96924,3563.709245,2356.259334
1998,NY,NEW YORK,2837870,9866.350467,537.9844743,3888.571006,5439.794987,10557.98222,6074.097475,4549.407478
1998,OH,OHIO,1846585,7343.633789,408.8422683,2993.294649,3941.496871,7034.540517,4061.767533,2646.881676
1998,OK,OKLAHOMA,623681,5273.11879,469.3569309,3165.462793,1638.299066,5349.253865,3020.217066,2048.167252
1998,OR,OREGON,540226,6924.972141,414.7708552,3956.632965,2553.568321,7043.324461,3740.203174,2526.549999
1998,PA,PENNSYLVANIA,1791100,8538.765563,463.9796773,3165.656859,4909.129027,8941.618,4565.19569,3260.342806
1998,RI,RHODE ISLAND,152356,8239.124157,442.6015385,3303.230592,4493.292027,8017.787288,4932.467379,3629.820946
1998,SC,SOUTH CAROLINA,648084,6331.051222,506.4065769,3307.435456,2517.209189,6535.342641,3521.048197,2380.118935
1998,SD,SOUTH DAKOTA,133698,5932.033389,575.9921614,2108.154198,3247.887029,5843.610226,3165.978549,2224.850035
1998,TN,TENNESSEE,876693,5426.801628,462.0522806,2587.051568,2377.69778,5689.800192,3306.640979,2351.495906
1998,TX,TEXAS,3891710,6296.464536,470.8539434,2736.196942,3089.413394,6614.726945,3787.820264,2596.97665
1998,UT,UTAH,480811,4774.994748,347.2861478,2899.596723,1528.111878,4838.930474,2486.062091,1782.103571
1998,VA,VIRGINIA,1110815,6952.993073,361.6407773,2169.2289,4422.123396,7033.982256,4144.518214,2735.747177
1998,VT,VERMONT,101413,10741.19689,441.2649266,2500.576849,7799.355112,10471.27094,4628.804986,3362.635954
1998,WA,WASHINGTON,991235,6990.005397,442.2674744,4586.339264,1961.398659,7275.369615,3803.116314,2498.199721
1998,WI,WISCONSIN,881552,8034.193105,361.3706282,4283.207343,3389.615133,8542.597601,4292.355981,3089.459272
1998,WV,WEST VIRGINIA,300737,7245.320662,673.7647845,4494.6947,2076.861178,6985.64194,3920.47204,2666.978124
1998,WY,WYOMING,96504,7287.573572,489.1092597,3421.661278,3376.803034,7324.059106,3996.114151,2696.769046
1999,AK,ALASKA,133508,9312.003775,1401.811127,5543.959913,2366.232735,9662.252449,5094.061779,3519.294724
1999,AL,ALABAMA,737639,6061.970693,532.9097296,3731.707515,1797.353448,6267.035772,3574.333787,2475.918437
1999,AR,ARKANSAS,451981,5940.433337,514.1344437,3448.297605,1978.001288,5864.866001,3461.052566,2249.311365
1999,AZ,ARIZONA,809844,6252.00409,610.8929621,2768.096078,2873.01505,6236.01459,3265.109083,2150.748786
1999,CA,CALIFORNIA,5839207,7049.155305,606.0675705,4054.761546,2388.326189,6954.659768,3975.338432,2623.680407
1999,CO,COLORADO,698402,6787.285833,336.3950848,2869.463432,3581.427316,7216.794912,3858.206305,2558.550806
1999,CT,CONNECTICUT,522415,10451.6275,410.3863786,3970.301389,6070.939732,10086.84092,5903.201478,4222.258166
1999,DC,DISTRICT OF COLUMBIA,71889,10545.03471,1710.55377,0,8834.480936,10278.93002,5549.124344,3345.28231
1999,DE,DELAWARE,112320,8942.948718,547.409188,5756.695157,2638.844373,8549.991097,4565.010684,3252.305912
1999,FL,FLORIDA,2333567,7324.853325,542.9143453,3736.762219,3045.176762,6923.658931,3616.479835,2234.096557
1999,GA,GEORGIA,1401291,7365.467273,470.8500947,3651.736149,3242.881029,7171.121487,4081.845241,2810.788052
1999,HI,HAWAII,188069,7064.2796,694.1441705,6204.850347,165.2850815,7218.887749,4172.42076,2825.01635
1999,IA,IOWA,498214,7507.837997,373.4479561,3564.733227,3569.656814,7605.264003,4222.741633,2745.386521
1999,ID,IDAHO,244623,5744.553865,395.5515221,3547.303402,1801.698941,5761.383844,3198.157982,2214.211256
1999,IL,ILLINOIS,1987427,8116.421886,540.1114104,2586.691234,4989.619241,8413.047624,4376.298601,3040.956976
1999,IN,INDIANA,986891,8275.649489,382.6977853,4148.656741,3744.294963,8305.592006,4164.681814,2831.021866
1999,KS,KANSAS,469758,7217.752545,429.7382908,4455.949659,2332.064595,6790.447422,4005.213323,2655.948382
1999,KY,KENTUCKY,653628,6407.511612,580.5106268,3954.824457,1872.176529,6587.352439,3794.277479,2590.302129
