LEAID	CENSUSID	FIPST	FIPSCO	CMSA	NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32 - TOTAL SALARIES	Z33
1731920	1.45084E+13	17	167	7880	PLEASANT PLAINS COMM UNIT SCH DI	Illinois	IL	3	95	1	5939000	96000	1914000	3929000	9933000	2674000	1665000
1731950	1.45072E+13	17	143	6120	PLEASANT VALLEY SCH DIST 62	Illinois	IL	1	95	1	1971000	133000	1165000	673000	1959000	999000	727000
1732040	1.45016E+13	17	31	141600	PLEASANTDALE SCH DIST 107	Illinois	IL	1	95	1	5180000	35000	435000	4710000	5422000	2788000	1986000
1732090	1.45092E+13	17	183	0	POTOMAC CU SCH DIST 10	Illinois	IL	1	95	1	1398000	48000	757000	593000	1246000	537000	338000
1732100	1.45071E+13	17	141	0	POLO COMM UNIT SCH DIST 222	Illinois	IL	3	95	1	3853000	115000	1760000	1978000	3937000	2191000	1536000
1732160	1.45053E+13	17	105	0	PONTIAC CC SCH DIST 429	Illinois	IL	1	95	1	6829000	371000	3719000	2739000	6133000	3858000	2841000
1732190	1.45082E+13	17	163	822285	PONTIAC-W HOLLIDAY SCH DST 105	Illinois	IL	1	95	1	3119000	168000	539000	2412000	3132000	1907000	1557000
1732220	1.45053E+13	17	105	0	PONTIAC TWP H S DIST 90	Illinois	IL	2	95	1	5258000	79000	1732000	3447000	5223000	2859000	1889000
1732250	1.45053E+13	17	105	0	PONTIAC-ESMEN C C SCH DIST 430	Illinois	IL	1	95	1	334000	3000	56000	275000	314000	192000	110000
1732280	1.45077E+13	17	151	0	POPE CO C U SCH DIST 1	Illinois	IL	3	95	1	3519000	227000	2570000	722000	3788000	2210000	1527000
1732370	1.45016E+13	17	31	141600	POSEN-ROBBINS SCH DIST 143-5	Illinois	IL	1	95	1	9332000	774000	6355000	2203000	8494000	4534000	3128000
