NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32	Z33	V33
EASTERN WESTMORELAND CTC	Pennsylvania	PA	7	14	1	3584000	97000	620000	2867000	3567000	1623000	1029000	-2
NORTHERN WESTMORELAND CTC	Pennsylvania	PA	7	14	1	3019000	147000	500000	2372000	3024000	1327000	877000	-2
NORTHUMBERLAND COUNTY CTC	Pennsylvania	PA	7	14	1	1865000	72000	269000	1524000	1772000	851000	590000	-2
BEAVER COUNTY CTC	Pennsylvania	PA	7	14	1	5761000	282000	962000	4517000	5364000	2589000	1625000	-2
NORTHERN TIER CAREER CENTER	Pennsylvania	PA	7	14	1	3870000	154000	607000	3109000	3253000	1467000	816000	-2
BUTLER COUNTY AVTS	Pennsylvania	PA	7	14	1	4180000	250000	978000	2952000	4173000	1974000	1126000	-2
CENTRAL PA INSTITUTE OF SCIENCE & TECHNOLOGY	Pennsylvania	PA	7	14	1	8888000	175000	1099000	7614000	9967000	2989000	889000	-2
FAYETTE COUNTY CAREER & TECHNICAL INSTITUTE	Pennsylvania	PA	7	14	1	6212000	1186000	1136000	3890000	5676000	2459000	1255000	-2
HAZLETON AREA CAREER CENTER	Pennsylvania	PA	7	14	1	-2	-2	-2	-2	-2	-2	-2	-2
MIFFLIN-JUNIATA CTC	Pennsylvania	PA	7	14	1	2800000	178000	567000	2055000	2770000	1144000	540000	-2
NORTH MONTCO TECH CAREER CENTER	Pennsylvania	PA	7	14	1	11521000	322000	1381000	9818000	11042000	5807000	3823000	-3
SCHUYLKILL TECHNOLOGY CENTERS	Pennsylvania	PA	7	14	1	7243000	381000	1010000	5852000	8542000	3471000	1880000	-2
SENECA HIGHLANDS CAREER AND TECHNICAL CENTER	Pennsylvania	PA	7	14	1	1884000	0	424000	1460000	1963000	828000	608000	-2
INDIANA COUNTY TECHNOLOGY CENTER	Pennsylvania	PA	7	14	1	5132000	153000	867000	4112000	5136000	2579000	1277000	-2
KEYSTONE CENTRAL CTC	Pennsylvania	PA	7	14	1	-2	-2	-2	-2	-2	-2	-2	-2
