NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
Manzanita Elementary,California,CA,1,15,1,2829000,260000,2068000,501000,2693000,1519000,1065000,284
Maple Creek Elementary,California,CA,1,15,1,374000,35000,299000,40000,257000,146000,73000,10
Maple Elementary,California,CA,1,15,1,2604000,157000,1624000,823000,2462000,1246000,853000,282
Marcum-Illinois Union Elementary,California,CA,3,15,1,3682000,449000,2244000,989000,3291000,1260000,752000,2283
Maricopa Unified,California,CA,3,15,1,7970000,908000,3729000,3333000,5595000,2286000,1481000,2438
Mariposa County Unified,California,CA,3,15,1,19881000,1513000,5599000,12769000,19610000,10969000,6854000,1806
Mark Twain Union Elementary,California,CA,1,15,1,7383000,452000,2733000,4198000,7068000,3969000,2687000,816
Mark West Union Elementary,California,CA,1,15,1,15807000,661000,7236000,7910000,13773000,7600000,5638000,1433
Martinez Unified,California,CA,3,15,1,43641000,2114000,16037000,25490000,46170000,25717000,16729000,4221
Marysville Joint Unified,California,CA,3,15,1,106190000,11703000,70165000,24322000,103342000,55192000,34613000,9647
Maxwell Unified,California,CA,3,15,1,4098000,329000,2404000,1365000,4040000,2054000,1280000,312
McCabe Union Elementary,California,CA,1,15,1,12070000,444000,8791000,2835000,10565000,6250000,4539000,1368
McCloud Union Elementary,California,CA,1,15,1,942000,134000,397000,411000,935000,467000,323000,66
McFarland Unified,California,CA,3,15,1,41972000,4268000,27184000,10520000,51180000,20261000,12912000,3469
McKinleyville Union Elementary,California,CA,1,15,1,11447000,982000,4738000,5727000,13022000,6309000,4585000,1141
McKittrick Elementary,California,CA,1,15,1,3584000,65000,356000,3163000,2150000,1064000,653000,78
McSwain Union Elementary,California,CA,1,15,1,7814000,426000,5364000,2024000,7374000,4272000,2935000,865
Meadows Union Elementary,California,CA,1,15,1,5622000,550000,4152000,920000,5137000,2964000,2000000,449
Mendocino Unified,California,CA,3,15,1,11621000,379000,2666000,8576000,10952000,5394000,3160000,551
Milpitas Unified,California,CA,3,15,1,120675000,5978000,35971000,78726000,151360000,63323000,43673000,10281
Menifee Union Elementary,California,CA,3,15,1,97690000,4838000,70392000,22460000,96255000,54955000,38376000,11011
Menlo Park City Elementary,California,CA,1,15,1,47733000,732000,5025000,41976000,48449000,27981000,20248000,2904
Merced City Elementary,California,CA,1,15,1,112203000,13006000,82976000,16221000,117392000,63942000,42752000,10788
Merced River Union Elementary,California,CA,1,15,1,1835000,185000,985000,665000,1754000,907000,569000,150
Merced Union High,California,CA,2,15,1,114394000,11463000,78259000,24672000,116827000,65243000,40331000,10039
Meridian Elementary,California,CA,3,15,1,1459000,176000,747000,536000,1410000,480000,286000,978
Mesa Union Elementary,California,CA,3,15,1,7963000,439000,3581000,3943000,5977000,2979000,2168000,1385
Middletown Unified,California,CA,3,15,1,15956000,1214000,7565000,7177000,20953000,9192000,6146000,1667
Midway Elementary,California,CA,1,15,1,2130000,67000,208000,1855000,3061000,1065000,742000,120
Mill Valley Elementary,California,CA,1,15,1,46628000,1028000,5109000,40491000,43839000,23686000,17071000,3242
Millbrae Elementary,California,CA,1,15,1,32335000,999000,11469000,19867000,32426000,12860000,8829000,2469
Millville Elementary,California,CA,1,15,1,2407000,164000,1491000,752000,2323000,1241000,891000,266
Mission Union Elementary,California,CA,1,15,1,1278000,19000,927000,332000,1191000,711000,538000,129
Modesto City Elementary,California,CA,1,15,1,-2,-2,-2,-2,-2,-2,-2,-2
Modesto City High,California,CA,3,15,1,-2,-2,-2,-2,-2,-2,-2,-2
Modoc Joint Unified,California,CA,3,15,1,9107000,1044000,4599000,3464000,8628000,4570000,2965000,823
Mojave Unified,California,CA,3,15,1,34343000,2346000,14180000,17817000,32566000,16846000,10669000,2696
Monroe Elementary,California,CA,1,15,1,2247000,315000,1650000,282000,2052000,1008000,731000,197
Monrovia Unified,California,CA,3,15,1,67904000,5759000,38761000,23384000,65818000,38228000,24764000,5903
Monson-Sultana Joint Union Elementary,California,CA,1,15,1,4220000,452000,3501000,267000,4268000,2204000,1515000,461
Montague Elementary,California,CA,1,15,1,2378000,267000,1689000,422000,2096000,1057000,703000,200
Monte Rio Union Elementary,California,CA,1,15,1,1457000,42000,248000,1167000,1466000,776000,391000,89
Montebello Unified,California,CA,3,15,1,341093000,42221000,236480000,62392000,346285000,199649000,118778000,29062
Montecito Union Elementary,California,CA,1,15,1,12246000,96000,731000,11419000,11965000,6805000,4499000,448
Monterey Peninsula Unified,California,CA,3,15,1,124517000,11346000,56843000,56328000,119976000,64781000,40492000,10653
Montgomery Elementary,California,CA,1,15,1,688000,40000,118000,530000,602000,332000,237000,26
Moorpark Unified,California,CA,3,15,1,68849000,3366000,36487000,28996000,69648000,39445000,26316000,6703
Moraga Elementary,California,CA,1,15,1,21039000,405000,5388000,15246000,20679000,12556000,8498000,1852
Moreland,California,CA,1,15,1,59295000,2625000,15906000,40764000,64100000,30874000,20357000,4825
Moreno Valley Unified,California,CA,3,15,1,388194000,36811000,302747000,48636000,378455000,200340000,136781000,34170
Morgan Hill Unified,California,CA,3,15,1,106444000,6044000,21604000,78796000,111737000,45286000,29381000,9000
Morongo Unified,California,CA,3,15,1,92493000,11914000,66544000,14035000,94783000,52520000,35585000,9439
